review_date,times,total_rating,average_rating,popularity
2020-03-18,1,5,5.0,4.266365688487585
2020-03-19,1,5,5.0,4.266365688487585
2020-03-20,1,1,1.0,3.599699021820918
2020-03-21,3,13,4.333333333333333,4.226486079759217
2020-03-23,2,3,1.5,3.2464258841234015
2020-03-24,2,6,3.0,3.7464258841234015
2020-03-25,1,4,4.0,4.099699021820919
2020-03-26,3,13,4.333333333333333,4.226486079759217
2020-03-27,4,19,4.75,4.539879608728367
2020-03-28,1,5,5.0,4.266365688487585
2020-03-29,1,5,5.0,4.266365688487585
2020-03-31,1,5,5.0,4.266365688487585
2020-04-04,2,10,5.0,4.4130925507900685
2020-04-05,1,5,5.0,4.266365688487585
2020-04-06,2,9,4.5,4.2464258841234015
2020-04-07,3,11,3.6666666666666665,3.8931527464258844
2020-04-08,1,5,5.0,4.266365688487585
2020-04-09,2,6,3.0,3.7464258841234015
2020-04-10,1,4,4.0,4.099699021820919
2020-04-11,1,5,5.0,4.266365688487585
2020-04-13,3,15,5.0,4.559819413092551
2020-04-15,1,5,5.0,4.266365688487585
2020-04-17,1,5,5.0,4.266365688487585
2020-04-18,1,5,5.0,4.266365688487585
2020-04-21,2,10,5.0,4.4130925507900685
2020-04-23,2,6,3.0,3.7464258841234015
2020-04-25,1,5,5.0,4.266365688487585
2020-04-26,3,11,3.6666666666666665,3.8931527464258844
2020-04-27,1,5,5.0,4.266365688487585
2020-04-30,2,8,4.0,4.0797592174567345
2020-05-04,1,5,5.0,4.266365688487585
2020-05-05,2,8,4.0,4.0797592174567345
2020-05-07,1,5,5.0,4.266365688487585
2020-05-09,1,5,5.0,4.266365688487585
2020-05-10,2,6,3.0,3.7464258841234015
2020-05-11,2,10,5.0,4.4130925507900685
2020-05-12,2,7,3.5,3.913092550790068
2020-05-14,5,17,3.4,3.5199398043641836
2020-05-15,5,21,4.2,4.186606471030851
2020-05-16,1,5,5.0,4.266365688487585
2020-05-18,2,8,4.0,4.0797592174567345
2020-05-19,1,5,5.0,4.266365688487585
2020-05-20,4,16,4.0,4.039879608728367
2020-05-21,1,5,5.0,4.266365688487585
2020-05-22,1,3,3.0,3.9330323551542516
2020-05-23,1,5,5.0,4.266365688487585
2020-05-24,1,5,5.0,4.266365688487585
2020-05-25,5,21,4.2,4.186606471030851
2020-05-26,3,12,4.0,4.059819413092551
2020-05-28,5,19,3.8,3.8532731376975167
2020-05-30,1,5,5.0,4.266365688487585
2020-06-01,1,4,4.0,4.099699021820919
2020-06-04,3,7,2.3333333333333335,3.2264860797592174
2020-06-05,4,8,2.0,2.7065462753950342
2020-06-06,3,14,4.666666666666667,4.393152746425884
2020-06-08,2,6,3.0,3.7464258841234015
2020-06-09,2,6,3.0,3.7464258841234015
2020-06-10,4,19,4.75,4.539879608728367
2020-06-11,3,15,5.0,4.559819413092551
2020-06-12,2,9,4.5,4.2464258841234015
2020-06-13,2,6,3.0,3.7464258841234015
2020-06-15,1,5,5.0,4.266365688487585
2020-06-16,2,10,5.0,4.4130925507900685
2020-06-17,1,4,4.0,4.099699021820919
2020-06-18,3,7,2.3333333333333335,3.2264860797592174
2020-06-19,2,10,5.0,4.4130925507900685
2020-06-20,1,5,5.0,4.266365688487585
2020-06-22,1,5,5.0,4.266365688487585
2020-06-25,1,4,4.0,4.099699021820919
2020-06-26,3,8,2.6666666666666665,3.3931527464258844
2020-06-27,2,6,3.0,3.7464258841234015
2020-06-28,2,10,5.0,4.4130925507900685
2020-06-29,2,6,3.0,3.7464258841234015
2020-06-30,3,13,4.333333333333333,4.226486079759217
2020-07-01,3,15,5.0,4.559819413092551
2020-07-02,1,5,5.0,4.266365688487585
2020-07-03,5,21,4.2,4.186606471030851
2020-07-05,2,7,3.5,3.913092550790068
2020-07-06,2,9,4.5,4.2464258841234015
2020-07-08,1,1,1.0,3.599699021820918
2020-07-09,3,15,5.0,4.559819413092551
2020-07-10,2,5,2.5,3.5797592174567345
2020-07-11,6,30,5.0,5.0
2020-07-12,1,1,1.0,3.599699021820918
2020-07-13,2,10,5.0,4.4130925507900685
2020-07-14,1,5,5.0,4.266365688487585
2020-07-15,3,14,4.666666666666667,4.393152746425884
2020-07-16,3,13,4.333333333333333,4.226486079759217
2020-07-17,6,27,4.5,4.5
2020-07-18,1,1,1.0,3.599699021820918
2020-07-19,3,15,5.0,4.559819413092551
2020-07-20,4,17,4.25,4.206546275395034
2020-07-21,2,3,1.5,3.2464258841234015
2020-07-22,3,12,4.0,4.059819413092551
2020-07-23,4,17,4.25,4.206546275395034
2020-07-24,5,17,3.4,3.5199398043641836
2020-07-25,2,6,3.0,3.7464258841234015
2020-07-26,1,5,5.0,4.266365688487585
2020-07-27,5,21,4.2,4.186606471030851
2020-07-28,4,19,4.75,4.539879608728367
2020-07-29,2,8,4.0,4.0797592174567345
2020-07-30,1,5,5.0,4.266365688487585
2020-07-31,4,19,4.75,4.539879608728367
2020-08-01,5,25,5.0,4.853273137697517
2020-08-02,5,25,5.0,4.853273137697517
2020-08-03,1,5,5.0,4.266365688487585
2020-08-05,1,5,5.0,4.266365688487585
2020-08-06,4,18,4.5,4.3732129420617
2020-08-08,3,15,5.0,4.559819413092551
2020-08-09,1,4,4.0,4.099699021820919
2020-08-10,1,5,5.0,4.266365688487585
2020-08-13,5,20,4.0,4.019939804364183
2020-08-15,2,10,5.0,4.4130925507900685
2020-08-16,2,10,5.0,4.4130925507900685
2020-08-17,3,12,4.0,4.059819413092551
2020-08-18,2,10,5.0,4.4130925507900685
2020-08-19,1,5,5.0,4.266365688487585
2020-08-20,2,10,5.0,4.4130925507900685
2020-08-21,2,7,3.5,3.913092550790068
2020-08-22,1,5,5.0,4.266365688487585
2020-08-23,2,8,4.0,4.0797592174567345
2020-08-24,1,1,1.0,3.599699021820918
2020-08-25,6,23,3.8333333333333335,3.8333333333333335
2020-08-27,3,11,3.6666666666666665,3.8931527464258844
2020-08-28,1,5,5.0,4.266365688487585
2020-08-29,1,4,4.0,4.099699021820919
2020-08-30,2,9,4.5,4.2464258841234015
2020-08-31,2,6,3.0,3.7464258841234015
2020-09-02,2,7,3.5,3.913092550790068
2020-09-03,3,14,4.666666666666667,4.393152746425884
2020-09-04,2,10,5.0,4.4130925507900685
2020-09-05,2,10,5.0,4.4130925507900685
2020-09-06,1,5,5.0,4.266365688487585
2020-09-07,4,14,3.5,3.706546275395034
2020-09-08,2,9,4.5,4.2464258841234015
2020-09-09,5,22,4.4,4.353273137697517
2020-09-10,3,14,4.666666666666667,4.393152746425884
2020-09-11,4,12,3.0,3.3732129420617007
2020-09-12,4,20,5.0,4.706546275395034
2020-09-13,3,15,5.0,4.559819413092551
2020-09-15,4,20,5.0,4.706546275395034
2020-09-16,1,3,3.0,3.9330323551542516
2020-09-18,5,22,4.4,4.353273137697517
2020-09-19,4,17,4.25,4.206546275395034
2020-09-20,2,10,5.0,4.4130925507900685
2020-09-21,2,10,5.0,4.4130925507900685
2020-09-22,5,18,3.6,3.68660647103085
2020-09-24,2,7,3.5,3.913092550790068
2020-09-25,1,1,1.0,3.599699021820918
2020-09-26,1,5,5.0,4.266365688487585
2020-10-02,3,14,4.666666666666667,4.393152746425884
2020-10-03,1,5,5.0,4.266365688487585
2020-10-06,2,6,3.0,3.7464258841234015
2020-10-07,1,4,4.0,4.099699021820919
2020-10-10,2,6,3.0,3.7464258841234015
2020-10-11,1,4,4.0,4.099699021820919
2020-10-13,2,10,5.0,4.4130925507900685
2020-10-15,1,5,5.0,4.266365688487585
2020-10-16,3,10,3.3333333333333335,3.7264860797592174
2020-10-21,1,5,5.0,4.266365688487585
2020-10-22,2,7,3.5,3.913092550790068
2020-10-25,5,21,4.2,4.186606471030851
2020-10-26,2,4,2.0,3.413092550790068
2020-10-27,1,5,5.0,4.266365688487585
2020-10-28,1,1,1.0,3.599699021820918
2020-10-30,3,12,4.0,4.059819413092551
2020-11-01,1,4,4.0,4.099699021820919
2020-11-02,2,9,4.5,4.2464258841234015
2020-11-03,3,7,2.3333333333333335,3.2264860797592174
2020-11-05,2,6,3.0,3.7464258841234015
2020-11-07,4,11,2.75,3.2065462753950342
2020-11-08,1,5,5.0,4.266365688487585
2020-11-12,2,10,5.0,4.4130925507900685
2020-11-13,6,26,4.333333333333333,4.333333333333333
2020-11-14,3,15,5.0,4.559819413092551
2020-11-15,3,15,5.0,4.559819413092551
2020-11-16,1,4,4.0,4.099699021820919
2020-11-17,1,4,4.0,4.099699021820919
2020-11-18,2,10,5.0,4.4130925507900685
2020-11-19,2,8,4.0,4.0797592174567345
2020-11-20,2,10,5.0,4.4130925507900685
2020-11-21,1,2,2.0,3.766365688487585
2020-11-22,2,6,3.0,3.7464258841234015
2020-11-23,5,25,5.0,4.853273137697517
2020-11-24,2,6,3.0,3.7464258841234015
2020-11-25,1,5,5.0,4.266365688487585
2020-11-27,1,1,1.0,3.599699021820918
2020-11-28,1,5,5.0,4.266365688487585
2020-11-29,4,19,4.75,4.539879608728367
2020-11-30,1,5,5.0,4.266365688487585
2020-12-01,2,6,3.0,3.7464258841234015
2020-12-02,1,1,1.0,3.599699021820918
2020-12-03,2,10,5.0,4.4130925507900685
2020-12-04,3,11,3.6666666666666665,3.8931527464258844
